 budget ,id,popularity,production_companies,release_date, revenue ,runtime,title,vote_average,vote_count,ROI,Dollar_per_point,,min_rating,max_rating,Vote_avg_avg
" $63,000,000.00 ",329,40.413191,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Amblin Entertainment"", ""id"": 56}]",6/11/1993," $920,100,000.00 ",127,Jurassic Park,7.6,4856,1460.48%," $8,289,473.68 ",,,,
" $19,000,000.00 ",274,18.174804,"[{""name"": ""Orion Pictures"", ""id"": 41}, {""name"": ""Strong Heart/Demme Production"", ""id"": 55072}]",2/1/1991," $272,742,922.00 ",119,The Silence of the Lambs,8.1,4443,1435.49%," $2,345,679.01 ",,,,
" $40,000,000.00 ",216015,98.755657,"[{""name"": ""Focus Features"", ""id"": 10146}, {""name"": ""Trigger Street Productions"", ""id"": 11801}, {""name"": ""Michael De Luca Productions"", ""id"": 27551}]",2/11/2015," $571,006,128.00 ",125,Fifty Shades of Grey,5.2,3254,1427.52%," $7,692,307.69 ",,,,
" $50,000,000.00 ",18239,94.815867,"[{""name"": ""Summit Entertainment"", ""id"": 491}, {""name"": ""Maverick Films"", ""id"": 4000}, {""name"": ""Imprint Entertainment"", ""id"": 5218}, {""name"": ""Sunswept Entertainment"", ""id"": 5219}, {""name"": ""Temple Hill Entertainment"", ""id"": 12292}]",3/15/2009," $709,827,462.00 ",130,The Twilight Saga: New Moon,5.6,2436,1419.65%," $8,928,571.43 ",,,,
" $58,000,000.00 ",293660,514.569956,"[{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Marvel Entertainment"", ""id"": 7505}, {""name"": ""The Donners' Company"", ""id"": 11307}, {""name"": ""TSG Entertainment"", ""id"": 22213}, {""name"": ""Kinberg Genre"", ""id"": 78091}]",2/9/2016," $783,112,979.00 ",108,Deadpool,7.4,10995,1350.19%," $7,837,837.84 ",,,,
" $35,000,000.00 ",18785,82.21166,"[{""name"": ""Legendary Pictures"", ""id"": 923}, {""name"": ""Green Hat Films"", ""id"": 3527}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""IFP Westcoast Erste"", ""id"": 12235}]",6/5/2009," $459,270,619.00 ",100,The Hangover,7.2,6173,1312.20%," $4,861,111.11 ",,,,
" $76,000,000.00 ",93456,136.886704,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Illumination Entertainment"", ""id"": 6704}]",6/25/2013," $970,761,885.00 ",98,Despicable Me 2,7,4637,1277.32%," $10,857,142.86 ",,,,
" $30,000,000.00 ",862,73.640445,"[{""name"": ""Pixar Animation Studios"", ""id"": 3}]",10/30/1995," $373,554,033.00 ",81,Toy Story,7.7,5269,1245.18%," $3,896,103.90 ",,,,
" $55,000,000.00 ",13,138.133331,"[{""name"": ""Paramount Pictures"", ""id"": 4}]",7/6/1994," $677,945,399.00 ",142,Forrest Gump,8.2,7927,1232.63%," $6,707,317.07 ",,,,
" $94,000,000.00 ",122,123.630332,"[{""name"": ""WingNut Films"", ""id"": 11}, {""name"": ""New Line Cinema"", ""id"": 12}]",12/1/2003," $1,118,888,979.00 ",201,The Lord of the Rings: The Return of the King,8.1,8064,1190.31%," $11,604,938.27 ",,,,
" $28,000,000.00 ",87,66.976776,"[{""name"": ""Lucasfilm"", ""id"": 1}, {""name"": ""Paramount Pictures"", ""id"": 4}]",5/23/1984," $333,000,000.00 ",118,Indiana Jones and the Temple of Doom,7.1,2781,1189.29%," $3,943,661.97 ",,,,
" $237,000,000.00 ",19995,150.437577,"[{""name"": ""Ingenious Film Partners"", ""id"": 289}, {""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Dune Entertainment"", ""id"": 444}, {""name"": ""Lightstorm Entertainment"", ""id"": 574}]",12/10/2009," $2,787,965,087.00 ",162,Avatar,7.2,11800,1176.36%," $32,916,666.67 ",,,,
" $35,000,000.00 ",268,44.104469,"[{""name"": ""PolyGram Filmed Entertainment"", ""id"": 1382}, {""name"": ""The Guber-Peters Company"", ""id"": 4357}, {""name"": ""Warner Bros."", ""id"": 6194}]",6/23/1989," $411,348,924.00 ",126,Batman,7,2096,1175.28%," $5,000,000.00 ",,,,
" $79,000,000.00 ",121,106.914973,"[{""name"": ""WingNut Films"", ""id"": 11}, {""name"": ""New Line Cinema"", ""id"": 12}, {""name"": ""The Saul Zaentz Company"", ""id"": 5237}]",12/18/2002," $926,287,400.00 ",179,The Lord of the Rings: The Two Towers,8,7487,1172.52%," $9,875,000.00 ",,,,
" $30,000,000.00 ",1637,49.526736,"[{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}]",6/9/1994," $350,448,145.00 ",116,Speed,6.8,1783,1168.16%," $4,411,764.71 ",,,,
" $75,000,000.00 ",328111,31.482872,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Fuji Television Network"", ""id"": 3341}, {""name"": ""Dentsu"", ""id"": 6452}, {""name"": ""Illumination Entertainment"", ""id"": 6704}]",6/18/2016," $875,958,308.00 ",87,The Secret Life of Pets,5.9,3462,1167.94%," $12,711,864.41 ",,,,
" $50,000,000.00 ",72105,68.87691,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Media Rights Capital"", ""id"": 2531}, {""name"": ""Fuzzy Door Productions"", ""id"": 8789}]",6/29/2012," $549,368,315.00 ",106,Ted,6.3,4697,1098.74%," $7,936,507.94 ",,,,
" $75,000,000.00 ",602,60.442593,"[{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Centropolis Entertainment"", ""id"": 347}]",6/25/1996," $816,969,268.00 ",145,Independence Day,6.7,3260,1089.29%," $11,194,029.85 ",,,,
" $20,000,000.00 ",52449,28.497242,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Mosaic Media Group"", ""id"": 748}]",5/16/2011," $216,197,492.00 ",92,Bad Teacher,5.4,1584,1080.99%," $3,703,703.70 ",,,,
" $29,000,000.00 ",22881,25.767395,"[{""name"": ""Alcon Entertainment"", ""id"": 1088}, {""name"": ""Left Tackle Pictures"", ""id"": 12193}, {""name"": ""Zucker/Netter Productions"", ""id"": 12194}]",11/20/2009," $309,208,309.00 ",129,The Blind Side,7.2,1597,1066.24%," $4,027,777.78 ",,,,
" $37,000,000.00 ",8966,127.084938,"[{""name"": ""Summit Entertainment"", ""id"": 491}, {""name"": ""Maverick Films"", ""id"": 4000}, {""name"": ""Imprint Entertainment"", ""id"": 5218}, {""name"": ""Goldcrest Pictures"", ""id"": 11843}, {""name"": ""Temple Hill Entertainment"", ""id"": 12292}, {""name"": ""Twilight Productions"", ""id"": 57750}]",11/20/2008," $392,616,625.00 ",122,Twilight,5.8,3561,1061.13%," $6,379,310.34 ",,,,
" $20,000,000.00 ",296096,53.161905,"[{""name"": ""New Line Cinema"", ""id"": 12}, {""name"": ""Sunswept Entertainment"", ""id"": 5219}, {""name"": ""Metro-Goldwyn-Mayer (MGM)"", ""id"": 8411}]",6/2/2016," $207,945,075.00 ",110,Me Before You,7.6,2562,1039.73%," $2,631,578.95 ",,,,
" $68,000,000.00 ",24021,107.069763,"[{""name"": ""Summit Entertainment"", ""id"": 491}, {""name"": ""Maverick Films"", ""id"": 4000}, {""name"": ""Imprint Entertainment"", ""id"": 5218}, {""name"": ""Sunswept Entertainment"", ""id"": 5219}, {""name"": ""Temple Hill Entertainment"", ""id"": 12292}]",6/23/2010," $698,491,347.00 ",124,The Twilight Saga: Eclipse,5.8,2301,1027.19%," $11,724,137.93 ",,,,
" $34,000,000.00 ",198663,131.815575,"[{""name"": ""Ingenious Media"", ""id"": 290}, {""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Gotham Group"", ""id"": 3672}, {""name"": ""Dayday Films"", ""id"": 8569}, {""name"": ""Temple Hill Entertainment"", ""id"": 12292}, {""name"": ""TSG Entertainment"", ""id"": 22213}]",9/10/2014," $348,319,861.00 ",113,The Maze Runner,7,5371,1024.47%," $4,857,142.86 ",,,,
" $150,000,000.00 ",135397,418.708552,"[{""name"": ""Universal Studios"", ""id"": 13}, {""name"": ""Amblin Entertainment"", ""id"": 56}, {""name"": ""Legendary Pictures"", ""id"": 923}, {""name"": ""Fuji Television Network"", ""id"": 3341}, {""name"": ""Dentsu"", ""id"": 6452}]",6/9/2015," $1,513,528,810.00 ",124,Jurassic World,6.5,8662,1009.02%," $23,076,923.08 ",,,,
" $94,000,000.00 ",12,85.688789,"[{""name"": ""Pixar Animation Studios"", ""id"": 3}]",5/30/2003," $940,335,536.00 ",100,Finding Nemo,7.6,6122,1000.36%," $12,368,421.05 ",,,,
" $33,000,000.00 ",807,79.579532,"[{""name"": ""New Line Cinema"", ""id"": 12}, {""name"": ""Juno Pix"", ""id"": 4286}, {""name"": ""Cecchi Gori Pictures"", ""id"": 65394}]",9/22/1995," $327,311,859.00 ",127,Se7en,8.1,5765,991.85%," $4,074,074.07 ",,,,
" $29,000,000.00 ",254470,71.496894,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Gold Circle Films"", ""id"": 12026}, {""name"": ""Brownstone Productions"", ""id"": 12365}]",5/7/2015," $287,506,194.00 ",115,Pitch Perfect 2,6.8,1940,991.40%," $4,264,705.88 ",,,,
" $48,000,000.00 ",89,80.972475,"[{""name"": ""Lucasfilm"", ""id"": 1}, {""name"": ""Paramount Pictures"", ""id"": 4}]",5/24/1989," $474,171,806.00 ",127,Indiana Jones and the Last Crusade,7.6,3152,987.86%," $6,315,789.47 ",,,,
" $90,000,000.00 ",8355,69.457898,"[{""name"": ""Blue Sky Studios"", ""id"": 9383}, {""name"": ""Twentieth Century Fox Animation"", ""id"": 11749}]",6/29/2009," $886,686,817.00 ",94,Ice Age: Dawn of the Dinosaurs,6.5,2271,985.21%," $13,846,153.85 ",,,,
" $21,000,000.00 ",82693,63.599973,"[{""name"": ""The Weinstein Company"", ""id"": 308}]",9/8/2012," $205,738,714.00 ",122,Silver Linings Playbook,6.9,4742,979.71%," $3,043,478.26 ",,,,
" $24,000,000.00 ",4935,49.549984,"[{""name"": ""Studio Ghibli"", ""id"": 10342}, {""name"": ""Buena Vista Home Entertainment"", ""id"": 11200}, {""name"": ""Mitsubishi"", ""id"": 11847}, {""name"": ""d-rights"", ""id"": 12518}, {""name"": ""Tohokushinsha Film Corporation"", ""id"": 74952}]",11/19/2004," $234,710,455.00 ",119,Howl's Moving Castle,8.2,1991,977.96%," $2,926,829.27 ",,,,
" $93,000,000.00 ",120,138.049577,"[{""name"": ""WingNut Films"", ""id"": 11}, {""name"": ""New Line Cinema"", ""id"": 12}, {""name"": ""The Saul Zaentz Company"", ""id"": 5237}]",12/18/2001," $871,368,364.00 ",178,The Lord of the Rings: The Fellowship of the Ring,8,8705,936.96%," $11,625,000.00 ",,,,
" $20,000,000.00 ",76203,95.9229,"[{""name"": ""Plan B Entertainment"", ""id"": 81}, {""name"": ""Regency Enterprises"", ""id"": 508}, {""name"": ""River Road Entertainment"", ""id"": 1246}, {""name"": ""Film4"", ""id"": 9349}, {""name"": ""New Regency Pictures"", ""id"": 10104}]",10/18/2013," $187,000,000.00 ",134,12 Years a Slave,7.9,3674,935.00%," $2,531,645.57 ",,,,
" $35,000,000.00 ",350,83.893257,"[{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Dune Entertainment"", ""id"": 444}, {""name"": ""Major Studio Partners"", ""id"": 445}, {""name"": ""Peninsula Films"", ""id"": 682}, {""name"": ""Fox 2000 Pictures"", ""id"": 711}]",6/30/2006," $326,551,094.00 ",109,The Devil Wears Prada,7,3088,933.00%," $5,000,000.00 ",,,,
" $95,000,000.00 ",57800,65.229868,"[{""name"": ""Blue Sky Studios"", ""id"": 9383}, {""name"": ""Twentieth Century Fox Animation"", ""id"": 11749}]",6/26/2012," $877,244,782.00 ",88,Ice Age: Continental Drift,6.2,2672,923.42%," $15,322,580.65 ",,,,
" $200,000,000.00 ",597,100.025899,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Lightstorm Entertainment"", ""id"": 574}]",11/18/1997," $1,845,034,188.00 ",194,Titanic,7.5,7562,922.52%," $26,666,666.67 ",,,,
" $58,800,000.00 ",190859,87.53437,"[{""name"": ""Village Roadshow Pictures"", ""id"": 79}, {""name"": ""Malpaso Productions"", ""id"": 171}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""RatPac-Dune Entertainment"", ""id"": 41624}, {""name"": ""Mad Chance Productions"", ""id"": 57408}, {""name"": ""22 & Indiana Pictures"", ""id"": 57409}]",12/11/2014," $542,307,423.00 ",133,American Sniper,7.4,4469,922.29%," $7,945,945.95 ",,,,
" $75,000,000.00 ",70160,68.550698,"[{""name"": ""Lionsgate"", ""id"": 1632}, {""name"": ""Color Force"", ""id"": 5420}]",3/12/2012," $691,210,692.00 ",142,The Hunger Games,6.9,9455,921.61%," $10,869,565.22 ",,,,
" $25,000,000.00 ",8681,80.879032,"[{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""M6 Films"", ""id"": 1115}, {""name"": ""Canal+"", ""id"": 5358}, {""name"": ""TPS Star"", ""id"": 6586}, {""name"": ""Grive Productions"", ""id"": 6877}, {""name"": ""EuropaCorp"", ""id"": 6896}, {""name"": ""M6"", ""id"": 11261}, {""name"": ""Wintergreen Productions"", ""id"": 11845}, {""name"": ""All Pictures Media"", ""id"": 23614}]",2/18/2008," $226,830,568.00 ",93,Taken,7.2,4369,907.32%," $3,472,222.22 ",,,,
" $32,500,000.00 ",55721,17.107065,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Relativity Media"", ""id"": 7295}, {""name"": ""Apatow Productions"", ""id"": 10105}]",4/28/2011," $288,383,523.00 ",125,Bridesmaids,6.5,1661,887.33%," $5,000,000.00 ",,,,
" $100,000,000.00 ",672,132.397737,"[{""name"": ""1492 Pictures"", ""id"": 436}, {""name"": ""Heyday films"", ""id"": 437}, {""name"": ""Warner Bros."", ""id"": 6194}]",11/13/2002," $876,688,482.00 ",161,Harry Potter and the Chamber of Secrets,7.4,5815,876.69%," $13,513,513.51 ",,,,
" $150,000,000.00 ",109445,165.125366,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Walt Disney Animation Studios"", ""id"": 6125}]",11/27/2013," $1,274,219,009.00 ",102,Frozen,7.3,5295,849.48%," $20,547,945.21 ",,,,
" $45,000,000.00 ",82675,49.353524,"[{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""M6 Films"", ""id"": 1115}, {""name"": ""Canal+"", ""id"": 5358}, {""name"": ""Grive Productions"", ""id"": 6877}, {""name"": ""EuropaCorp"", ""id"": 6896}, {""name"": ""Cin\u00e9+"", ""id"": 10611}]",9/27/2012," $376,141,306.00 ",91,Taken 2,6.1,2757,835.87%," $7,377,049.18 ",,,,
" $40,000,000.00 ",165,43.345252,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Amblin Entertainment"", ""id"": 56}, {""name"": ""U-Drive Productions"", ""id"": 20448}]",11/20/1989," $332,000,000.00 ",108,Back to the Future Part II,7.4,3829,830.00%," $5,405,405.41 ",,,,
" $80,000,000.00 ",950,85.115058,"[{""name"": ""Blue Sky Studios"", ""id"": 9383}, {""name"": ""Twentieth Century Fox Animation"", ""id"": 11749}]",3/23/2006," $660,940,780.00 ",91,Ice Age: The Meltdown,6.5,2951,826.18%," $12,307,692.31 ",,,,
" $33,000,000.00 ",13223,50.7453,"[{""name"": ""Village Roadshow Pictures"", ""id"": 79}, {""name"": ""Malpaso Productions"", ""id"": 171}, {""name"": ""Gerber Pictures"", ""id"": 975}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Double Nickel Entertainment"", ""id"": 10138}, {""name"": ""Matten Productions"", ""id"": 27351}, {""name"": ""WV Films IV"", ""id"": 27352}]",12/9/2008," $269,958,228.00 ",116,Gran Torino,7.8,3086,818.06%," $4,230,769.23 ",,,,
" $60,000,000.00 ",808,67.298732,"[{""name"": ""DreamWorks SKG"", ""id"": 27}, {""name"": ""Pacific Data Images (PDI)"", ""id"": 520}, {""name"": ""DreamWorks Animation"", ""id"": 521}]",5/16/2001," $484,409,218.00 ",90,Shrek,7.3,4056,807.35%," $8,219,178.08 ",,,,
" $115,000,000.00 ",1893,54.035265,"[{""name"": ""Lucasfilm"", ""id"": 1}]",5/19/1999," $924,317,558.00 ",136,Star Wars: Episode I - The Phantom Menace,6.3,4432,803.75%," $18,253,968.25 ",,,,
" $40,000,000.00 ",259693,68.794673,"[{""name"": ""New Line Cinema"", ""id"": 12}, {""name"": ""Dune Entertainment"", ""id"": 444}, {""name"": ""The Safran Company"", ""id"": 11565}, {""name"": ""Evergreen Media Group"", ""id"": 31375}, {""name"": ""warner bross Turkey"", ""id"": 47502}, {""name"": ""Soho VFX"", ""id"": 54392}, {""name"": ""Atomic Monster"", ""id"": 76907}]",5/13/2016," $320,170,008.00 ",134,The Conjuring 2,7,1949,800.43%," $5,714,285.71 ",,,,
" $40,000,000.00 ",18240,36.238968,"[{""name"": ""Touchstone Pictures"", ""id"": 9195}, {""name"": ""Mandeville Films"", ""id"": 10227}, {""name"": ""Kurtzman/Orci"", ""id"": 12536}]",6/1/2009," $317,375,031.00 ",108,The Proposal,6.7,1804,793.44%," $5,970,149.25 ",,,,
" $190,000,000.00 ",168259,102.322217,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Original Film"", ""id"": 333}, {""name"": ""Fuji Television Network"", ""id"": 3341}, {""name"": ""Dentsu"", ""id"": 6452}, {""name"": ""One Race Films"", ""id"": 7154}, {""name"": ""China Film Co."", ""id"": 40890}, {""name"": ""Qu\u00e9bec Production Services Tax Credit"", ""id"": 86352}, {""name"": ""Media Rights Capital (MRC)"", ""id"": 86655}, {""name"": ""Abu Dhabi Film Commission"", ""id"": 87857}, {""name"": ""Colorado Office of Film, Television & Media"", ""id"": 87858}]",4/1/2015," $1,506,249,360.00 ",137,Furious 7,7.3,4176,792.76%," $26,027,397.26 ",,,,
" $69,000,000.00 ",20352,113.858273,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Illumination Entertainment"", ""id"": 6704}]",7/8/2010," $543,513,985.00 ",95,Despicable Me,7.1,6478,787.70%," $9,718,309.86 ",,,,
" $60,000,000.00 ",137106,59.547928,"[{""name"": ""Village Roadshow Pictures"", ""id"": 79}, {""name"": ""DC Comics"", ""id"": 429}, {""name"": ""Vertigo Entertainment"", ""id"": 829}, {""name"": ""Lin Pictures"", ""id"": 2723}, {""name"": ""Warner Bros. Animation"", ""id"": 2785}, {""name"": ""LEGO"", ""id"": 4081}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Animal Logic"", ""id"": 8089}, {""name"": ""Warner Animation Group"", ""id"": 25120}, {""name"": ""RatPac-Dune Entertainment"", ""id"": 41624}]",2/6/2014," $469,160,692.00 ",100,The Lego Movie,7.5,3070,781.93%," $8,000,000.00 ",,,,
" $125,000,000.00 ",671,109.984351,"[{""name"": ""1492 Pictures"", ""id"": 436}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Heyday Films"", ""id"": 7364}]",11/16/2001," $976,475,550.00 ",152,Harry Potter and the Philosopher's Stone,7.5,7006,781.18%," $16,666,666.67 ",,,,
" $113,000,000.00 ",1895,44.108427,"[{""name"": ""Lucasfilm"", ""id"": 1}]",5/17/2005," $850,000,000.00 ",140,Star Wars: Episode III - Revenge of the Sith,7.1,4116,752.21%," $15,915,492.96 ",,,,
" $63,000,000.00 ",603,104.309993,"[{""name"": ""Village Roadshow Pictures"", ""id"": 79}, {""name"": ""Groucho II Film Partnership"", ""id"": 372}, {""name"": ""Silver Pictures"", ""id"": 1885}, {""name"": ""Warner Bros."", ""id"": 6194}]",3/30/1999," $463,517,383.00 ",136,The Matrix,7.9,8907,735.74%," $7,974,683.54 ",,,,
" $37,000,000.00 ",138832,100.348805,"[{""name"": ""New Line Cinema"", ""id"": 12}, {""name"": ""BenderSpink"", ""id"": 6363}, {""name"": ""Heyday Films"", ""id"": 7364}, {""name"": ""Newman/Tooley Films"", ""id"": 16791}, {""name"": ""Vincent Newman Entertainment"", ""id"": 17929}, {""name"": ""Slap Happy Productions (II)"", ""id"": 31073}]",8/7/2013," $269,994,119.00 ",110,We're the Millers,6.8,2972,729.71%," $5,441,176.47 ",,,,
" $61,000,000.00 ",82695,48.356214,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Relativity Media"", ""id"": 7295}, {""name"": ""CAMERON MACKINTOSH"", ""id"": 7923}, {""name"": ""Working Title Films"", ""id"": 10163}]",12/18/2012," $441,809,770.00 ",157,Les Misérables,7.1,1884,724.28%," $8,591,549.30 ",,,,
" $30,000,000.00 ",70,70.456012,"[{""name"": ""Lakeshore Entertainment"", ""id"": 126}, {""name"": ""Malpaso Productions"", ""id"": 171}, {""name"": ""Epsilon Motion Pictures"", ""id"": 1171}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Albert S. Ruddy Productions"", ""id"": 16311}]",12/15/2004," $216,763,646.00 ",132,Million Dollar Baby,7.7,2439,722.55%," $3,896,103.90 ",,,,
" $75,000,000.00 ",953,48.110909,"[{""name"": ""DreamWorks SKG"", ""id"": 27}, {""name"": ""Pacific Data Images (PDI)"", ""id"": 520}, {""name"": ""DreamWorks Animation"", ""id"": 521}]",5/25/2005," $532,680,671.00 ",86,Madagascar,6.6,3237,710.24%," $11,363,636.36 ",,,,
" $75,000,000.00 ",35,46.875375,"[{""name"": ""Gracie Films"", ""id"": 18}, {""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}]",7/25/2007," $527,068,851.00 ",87,The Simpsons Movie,6.9,2264,702.76%," $10,869,565.22 ",,,,
" $30,000,000.00 ",17654,63.13678,"[{""name"": ""WingNut Films"", ""id"": 11}, {""name"": ""TriStar Pictures"", ""id"": 559}, {""name"": ""Key Creatives"", ""id"": 2300}, {""name"": ""Block / Hanson"", ""id"": 8504}, {""name"": ""Canadian Film or Video Production Tax Credit (CPTC)"", ""id"": 8582}, {""name"": ""The Department of Trade and Industry of South Africa"", ""id"": 10884}, {""name"": ""QED International"", ""id"": 11029}, {""name"": ""Province of British Columbia Production Services Tax Credit"", ""id"": 12200}, {""name"": ""District 9"", ""id"": 20667}, {""name"": ""New Zealand Post Digital and Visual Effects Grant"", ""id"": 20668}]",8/5/2009," $210,819,611.00 ",112,District 9,7.3,3382,702.73%," $4,109,589.04 ",,,,
" $120,000,000.00 ",50620,99.687084,"[{""name"": ""Summit Entertainment"", ""id"": 491}, {""name"": ""Sunswept Entertainment"", ""id"": 5219}, {""name"": ""Temple Hill Entertainment"", ""id"": 12292}]",11/13/2012," $829,000,000.00 ",115,The Twilight Saga: Breaking Dawn - Part 2,6.1,2553,690.83%," $19,672,131.15 ",,,,
" $220,000,000.00 ",24428,144.448633,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Marvel Studios"", ""id"": 420}]",4/25/2012," $1,519,557,910.00 ",143,The Avengers,7.4,11776,690.71%," $29,729,729.73 ",,,,
" $70,000,000.00 ",857,76.041867,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""DreamWorks SKG"", ""id"": 27}, {""name"": ""Amblin Entertainment"", ""id"": 56}, {""name"": ""Mutual Film Company"", ""id"": 762}, {""name"": ""Mark Gordon Productions"", ""id"": 11362}]",7/24/1998," $481,840,909.00 ",169,Saving Private Ryan,7.9,5048,688.34%," $8,860,759.49 ",,,,
" $25,000,000.00 ",6977,53.645267,"[{""name"": ""Miramax Films"", ""id"": 14}, {""name"": ""Scott Rudin Productions"", ""id"": 258}, {""name"": ""Paramount Vantage"", ""id"": 838}, {""name"": ""Mike Zoss Productions"", ""id"": 2092}]",11/8/2007," $171,600,000.00 ",122,No Country for Old Men,7.7,3003,686.40%," $3,246,753.25 ",,,,
" $92,000,000.00 ",9806,77.817571,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Pixar Animation Studios"", ""id"": 3}]",11/5/2004," $631,442,092.00 ",115,The Incredibles,7.4,5152,686.35%," $12,432,432.43 ",,,,
" $52,000,000.00 ",568,68.140214,"[{""name"": ""Imagine Entertainment"", ""id"": 23}, {""name"": ""Universal Pictures"", ""id"": 33}]",6/30/1995," $355,237,933.00 ",140,Apollo 13,7.3,1599,683.15%," $7,123,287.67 ",,,,
